1934/3/1,6.1
1934/4/1,11.4
1934/5/1,17.3
1934/6/1,21.3
1934/7/1,23.4
1934/8/1,25.6
1934/9/1,21.3
1934/10/1,14.5
1934/11/1,10.9
1934/12/1,6.2
1935/1/1,3.9
1935/2/1,4.9
1935/3/1,7
1935/4/1,12.1
1935/5/1,16.1
1935/6/1,21
1935/7/1,24
1935/8/1,24.5
1935/9/1,20.6
1935/10/1,16.9
1935/11/1,10.9
1935/12/1,5.9
1936/1/1,2.4
1936/2/1,2.4
1936/3/1,6.1
1936/4/1,11.8
1936/5/1,15.9
1936/6/1,21
1936/7/1,24.2
1936/8/1,26
1936/9/1,23.6
1936/10/1,15.8
1936/11/1,11.2
1936/12/1,6.7
1937/1/1,4.7
1937/2/1,5.7
1937/3/1,7.8
1937/4/1,12.5
1937/5/1,17.1
1937/6/1,18.9
1937/7/1,25.7
1937/8/1,27.5
1937/9/1,22.2
1937/10/1,16
1937/11/1,11.2
1937/12/1,6.1
1938/1/1,3.5
1938/2/1,3.3
1938/3/1,8.6
1938/4/1,13
1938/5/1,18.2
1938/6/1,20.4
1938/7/1,24.6
1938/8/1,25.4
1938/9/1,22
1938/10/1,16.6
1938/11/1,10.9
1938/12/1,6.3
1939/1/1,2.6
1939/2/1,3.9
1939/3/1,7.1
1939/4/1,12.5
1939/5/1,16.8
1939/6/1,20.2
1939/7/1,25.8
1939/8/1,25.3
1939/9/1,23.4
1939/10/1,17.7
1939/11/1,12.7
1939/12/1,6
1940/1/1,3.1
1940/2/1,3.7
1940/3/1,8.1
1940/4/1,12.8
1940/5/1,17.1
1940/6/1,21.3
1940/7/1,26
1940/8/1,24.3
1940/9/1,21.2
1940/10/1,17.4
1940/11/1,12.5
1940/12/1,6.7
1941/1/1,5.1
1941/2/1,4.9
1941/3/1,8.3
1941/4/1,12.3
1941/5/1,17
1941/6/1,20.3
1941/7/1,23.3
1941/8/1,24.8
1941/9/1,20.3
1941/10/1,17
1941/11/1,11.8
1941/12/1,7.4
1942/1/1,3.9
1942/2/1,2.8
1942/3/1,10.2
1942/4/1,13.2
1942/5/1,16.8
1942/6/1,21.4
1942/7/1,26.6
1942/8/1,26.5
1942/9/1,24.4
1942/10/1,16
1942/11/1,10.3
1942/12/1,5.9
1943/1/1,2.7
1943/2/1,4.3
1943/3/1,6.6
1943/4/1,11.2
1943/5/1,17.2
1943/6/1,20.7
1943/7/1,24.1
1943/8/1,26.4
1943/9/1,24
1943/10/1,16.9
1943/11/1,11
1943/12/1,6.1
1944/1/1,3.1
1944/2/1,3.6
1944/3/1,5.3
1944/4/1,10.3
1944/5/1,16.9
1944/6/1,21.5
1944/7/1,24.9
1944/8/1,26.6
1944/9/1,22.6
1944/10/1,16
1944/11/1,11
1944/12/1,4.9
1945/1/1,1.6
1945/2/1,1.5
1945/3/1,6.3
1945/4/1,13.2
1945/5/1,15.3
1945/6/1,20
1945/7/1,21.3
1945/8/1,25.9
1945/9/1,22.2
1945/10/1,16.7
1945/11/1,11.5
1945/12/1,5.9
1946/1/1,3.8
